,news_id,category,sub_category,title,abstract,url,title_entities,abstract_entitites
37664,N63899,tv,tv-golden-globes,Pierce Brosnan's Sons Paris and Dylan Named 2020 Golden Globe Ambassadors,Paris and Dylan Brosnan to be Golden Globe Ambassadors,https://assets.msn.com/labs/mind/BBWMDZE.html,"[{""Label"": ""Golden Globe Ambassador"", ""Type"": ""U"", ""WikidataId"": ""Q1449316"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [49], ""SurfaceForms"": [""Golden Globe Ambassadors""]}, {""Label"": ""Pierce Brosnan"", ""Type"": ""P"", ""WikidataId"": ""Q5105990"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Pierce Brosnan""]}]","[{""Label"": ""Golden Globe Ambassador"", ""Type"": ""U"", ""WikidataId"": ""Q1449316"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [30], ""SurfaceForms"": [""Golden Globe Ambassadors""]}]"
37717,N36789,news,newsus,Fox legal analyst Napolitano emerges as Trump critic,"NEW YORK (AP)   More than two decades into his career as a commentator at Fox News Channel, Andrew Napolitano reached a milestone of sorts when he was called a ""fool"" on his own network. Not to his face, of course. But Tucker Carlson guest Joseph diGenova's dismissal of Napolitano for saying that soliciting campaign aid from a foreign government is against the law illustrates the awkward place that the former New Jersey Superior Court judge...",https://assets.msn.com/labs/mind/BBWB3wv.html,"[{""Label"": ""Andrew Napolitano"", ""Type"": ""P"", ""WikidataId"": ""Q465511"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Napolitano""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [40], ""SurfaceForms"": [""Trump""]}, {""Label"": ""Fox Broadcasting Company"", ""Type"": ""O"", ""WikidataId"": ""Q166419"", ""Confidence"": 0.924, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Fox""]}]","[{""Label"": ""Andrew Napolitano"", ""Type"": ""P"", ""WikidataId"": ""Q465511"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [92, 271], ""SurfaceForms"": [""Andrew Napolitano"", ""Napolitano""]}, {""Label"": ""New Jersey Superior Court"", ""Type"": ""O"", ""WikidataId"": ""Q7009501"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [413], ""SurfaceForms"": [""New Jersey Superior Court""]}, {""Label"": ""Tucker Carlson"", ""Type"": ""P"", ""WikidataId"": ""Q743162"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [219], ""SurfaceForms"": [""Tucker Carlson""]}, {""Label"": ""Fox News"", ""Type"": ""M"", ""WikidataId"": ""Q186068"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [10, 74], ""SurfaceForms"": [""AP"", ""Fox News Channel""]}]"
37721,N12523,tv,tvvideos,Megyn Kelly Is Back to Work! Details on Her New Job,The journalist returned to work less than a year after leaving NBC.,https://assets.msn.com/labs/mind/BBWtRj9.html,[],"[{""Label"": ""NBC"", ""Type"": ""O"", ""WikidataId"": ""Q13974"", ""Confidence"": 0.986, ""OccurrenceOffsets"": [63], ""SurfaceForms"": [""NBC""]}]"
37847,N31395,tv,tv-gallery,30 best Netflix shows for binge watching over the holidays,The unprecedented density of the catalog of films and television shows on Netflix provides plenty of content for families to binge-watch during this holiday season. See what Stacker has to say about the top 30 ranked television shows you can stream online.,https://assets.msn.com/labs/mind/BBWtS9F.html,"[{""Label"": ""Netflix"", ""Type"": ""O"", ""WikidataId"": ""Q907311"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [8], ""SurfaceForms"": [""Netflix""]}]","[{""Label"": ""Netflix"", ""Type"": ""O"", ""WikidataId"": ""Q907311"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [74], ""SurfaceForms"": [""Netflix""]}]"
37941,N6787,travel,video,This Italian Beach Will Charge Entry Fee to Combat Overtourism,"In an attempt to preserve itself from overtourism, one of the most famous beaches in the world is introducing a cap on visitors and a price for admission. Veuer's Chandra Lanier has the story.",https://assets.msn.com/labs/mind/BBWHPZZ.html,[],[]
38035,N43522,lifestyle,lifestylevideo,Prince Charles is Getting Into Fashion,"Prince Charles is now getting into fashion with a new line benefiting his charity, The Prince's Foundation. Buzz60's Keri Lumm has more.",https://assets.msn.com/labs/mind/BBWHQ0l.html,"[{""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Prince Charles""]}]","[{""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Prince Charles""]}, {""Label"": ""The Prince's Foundation"", ""Type"": ""N"", ""WikidataId"": ""Q7758231"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [83], ""SurfaceForms"": [""The Prince's Foundation""]}]"
38173,N22975,finance,finance-companies,"How Amazon's quest for more, cheaper products has resulted in a flea market of fakes","Former executives say Amazon, which last year spent $400 million fighting fraud and abuse, has prioritized its broad selection over anti-counterfeiting technologies and policies.",https://assets.msn.com/labs/mind/BBWKY4E.html,"[{""Label"": ""Amazon (company)"", ""Type"": ""O"", ""WikidataId"": ""Q3884"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Amazon""]}]","[{""Label"": ""Amazon (company)"", ""Type"": ""O"", ""WikidataId"": ""Q3884"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [22], ""SurfaceForms"": [""Amazon""]}]"
38253,N24176,health,weightloss,Ree Drummond Says a Low-Carb Diet Is the Secret to Her Incredible Weight Loss,The Pioneer Woman's new cookbook is out now!,https://assets.msn.com/labs/mind/BBWvIuu.html,"[{""Label"": ""Ree Drummond"", ""Type"": ""P"", ""WikidataId"": ""Q7306553"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Ree Drummond""]}]",[]
38337,N56211,news,newsus,University of Florida student president faces impeachment for Trump Jr.'s $50K campus talk,"Trump Jr. and his girlfriend Kimberly Guilfoyle spoke at the University of Florida campus Oct. 10 for $50,000.",https://assets.msn.com/labs/mind/BBWHR6k.html,"[{""Label"": ""Donald Trump Jr."", ""Type"": ""P"", ""WikidataId"": ""Q3713655"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Trump Jr""]}, {""Label"": ""University of Florida"", ""Type"": ""O"", ""WikidataId"": ""Q501758"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""University of Florida""]}]","[{""Label"": ""Donald Trump Jr."", ""Type"": ""P"", ""WikidataId"": ""Q3713655"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Trump Jr""]}, {""Label"": ""University of Florida"", ""Type"": ""O"", ""WikidataId"": ""Q501758"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [61], ""SurfaceForms"": [""University of Florida""]}, {""Label"": ""Kimberly Guilfoyle"", ""Type"": ""P"", ""WikidataId"": ""Q13560902"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Kimberly Guilfoyle""]}]"
38516,N13816,autos,autossema,SEMA 2019: Cars and Trucks Gone Wild,Auto aftermarket antics at the annual trade show in Las Vegas.… The post SEMA 2019: Cars and Trucks Gone Wild appeared first on autoNXT.net.,https://assets.msn.com/labs/mind/BBWqBXg.html,"[{""Label"": ""SEMA"", ""Type"": ""U"", ""WikidataId"": ""Q7389710"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""SEMA""]}]","[{""Label"": ""SEMA"", ""Type"": ""U"", ""WikidataId"": ""Q7389710"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [73], ""SurfaceForms"": [""SEMA""]}]"
38536,N48017,news,newsscienceandtechnology,Experts crack mystery of ancient Egypt's sacred bird mummies,DNA analysis helps work out origin of nearly 6 million mummified ibises,https://assets.msn.com/labs/mind/BBWKaZ4.html,"[{""Label"": ""Egypt"", ""Type"": ""G"", ""WikidataId"": ""Q79"", ""Confidence"": 0.989, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""Egypt""]}]","[{""Label"": ""DNA"", ""Type"": ""U"", ""WikidataId"": ""Q7430"", ""Confidence"": 0.971, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""DNA""]}]"
38599,N51570,sports,basketball_nba,Hernandez: Anthony Davis' impact on LeBron James apparent even when he doesn't play,"Never was Anthony Davis' value to the Lakers as clear as it was Wednesday night at Staples Center. And Davis didn't play a minute. In a game he spent confined to the sidelines in street clothes, his influence was visible in LeBron James. Specifically, in how youthful the nearly 35-year-old James looked in the Lakers' second game in as many nights. With Davis sidelined by a troublesome right ...",https://assets.msn.com/labs/mind/BBWKeEd.html,"[{""Label"": ""LeBron James"", ""Type"": ""P"", ""WikidataId"": ""Q36159"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""LeBron James""]}]","[{""Label"": ""Los Angeles Lakers"", ""Type"": ""O"", ""WikidataId"": ""Q121783"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [38, 311], ""SurfaceForms"": [""Lakers"", ""Lakers""]}, {""Label"": ""LeBron James"", ""Type"": ""P"", ""WikidataId"": ""Q36159"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [224, 291], ""SurfaceForms"": [""LeBron James"", ""James""]}, {""Label"": ""Staples Center"", ""Type"": ""S"", ""WikidataId"": ""Q186080"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [83], ""SurfaceForms"": [""Staples Center""]}]"
38620,N12492,foodanddrink,recipes,Joanna Gaines' Friensdgiving Casserole Recipe Has Us Ready to Throw a Party Tonight,"Plus, Gaines has shared a Holiday Cranberry Sauce recipe from her upcoming cookbook, Magnolia Table Volume 2!",https://assets.msn.com/labs/mind/BBWB7GK.html,[],"[{""Label"": ""Cranberry sauce"", ""Type"": ""C"", ""WikidataId"": ""Q2915430"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [34], ""SurfaceForms"": [""Cranberry Sauce""]}]"
38676,N37437,foodanddrink,quickandeasy,How to Make Cornbread Without a Recipe,"Cornbread, unlike most breads, is very forgiving.",https://assets.msn.com/labs/mind/BBWHSTq.html,[],[]
38757,N14440,video,science,New Type of the World's Oldest Meat-Eating Dinosaur Discovered,"A new type of herrerasaurid, the earliest predatory dinosaurs, was recently unearthed in southern Brazil. Gnathovorax cabreirai, which roughly translates to ""jaw that is inclined to devour,"" roamed South America 233 million years ago.",https://assets.msn.com/labs/mind/BBWB7pG.html,[],"[{""Label"": ""South America"", ""Type"": ""L"", ""WikidataId"": ""Q18"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [198], ""SurfaceForms"": [""South America""]}, {""Label"": ""Brazil"", ""Type"": ""G"", ""WikidataId"": ""Q155"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [98], ""SurfaceForms"": [""Brazil""]}]"
38862,N40109,weather,weathertopstories,This Arctic blast is in its final day. But the cold isn't over quite yet,The hundreds of millions of people gripped by the Arctic blast can begin to peel off a layer or two of clothing starting Thursday.,https://assets.msn.com/labs/mind/BBWKjCt.html,[],[]
38872,N57342,news,newspolitics,Giuliani considers launching an impeachment podcast amid public hearings,Rudy Giuliani is considering re-entering the impeachment fray by launching a podcast to provide impeachment analysis of the public hearings in the House of Representatives scheduled for later this week.,https://assets.msn.com/labs/mind/BBWB8AU.html,"[{""Label"": ""Rudy Giuliani"", ""Type"": ""P"", ""WikidataId"": ""Q212648"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Giuliani""]}]","[{""Label"": ""Rudy Giuliani"", ""Type"": ""P"", ""WikidataId"": ""Q212648"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Rudy Giuliani""]}, {""Label"": ""United States House of Representatives"", ""Type"": ""B"", ""WikidataId"": ""Q11701"", ""Confidence"": 0.969, ""OccurrenceOffsets"": [147], ""SurfaceForms"": [""House of Representatives""]}]"
39106,N28962,autos,autosenthusiasts,Watch the 2020 Land Rover Defender hoon through the woods for No Time To Die,"The Defender will star in a chase sequence in the upcoming 25th James Bond film, which will be Daniel Craig's last.",https://assets.msn.com/labs/mind/BBWHULa.html,"[{""Label"": ""Land Rover Defender"", ""Type"": ""V"", ""WikidataId"": ""Q908027"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [15], ""SurfaceForms"": [""Land Rover Defender""]}, {""Label"": ""No Time to Die"", ""Type"": ""W"", ""WikidataId"": ""Q21534241"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""No Time To Die""]}]","[{""Label"": ""James Bond"", ""Type"": ""R"", ""WikidataId"": ""Q844"", ""Confidence"": 0.972, ""OccurrenceOffsets"": [64], ""SurfaceForms"": [""James Bond""]}, {""Label"": ""Daniel Craig"", ""Type"": ""P"", ""WikidataId"": ""Q4547"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [95], ""SurfaceForms"": [""Daniel Craig""]}]"
39198,N11793,finance,finance-retirement,3 retirement numbers you absolutely need to know,These numbers can be the key to a happy and comfortable retirement.,https://assets.msn.com/labs/mind/BBWB9PK.html,[],[]
39219,N16096,news,newsphotos,Eerie photos of an abandoned airport that hasn't been touched in 25 years,"The airport in Abkhazia   a disputed region of Georgia   was built in the 1960s, but was abandoned after a violent war in the early 1900s.",https://assets.msn.com/labs/mind/BBWvPFd.html,[],"[{""Label"": ""Abkhazia"", ""Type"": ""G"", ""WikidataId"": ""Q23334"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [15], ""SurfaceForms"": [""Abkhazia""]}]"
39246,N3841,entertainment,celebrity,"Week in celebrity photos for Nov. 11-15, 2019","Week in celebrity photos for Nov. 11-15, 2019",https://assets.msn.com/labs/mind/BBWB9Xe.html,[],[]
39270,N52622,sports,football_nfl,"The NFL Hot Seat: Sean McVay ran out of magic, and Jared Goff isn't helping",,https://assets.msn.com/labs/mind/BBWB9g6.html,"[{""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""NFL""]}, {""Label"": ""Jared Goff"", ""Type"": ""P"", ""WikidataId"": ""Q14950697"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [51], ""SurfaceForms"": [""Jared Goff""]}, {""Label"": ""Sean McVay"", ""Type"": ""P"", ""WikidataId"": ""Q7441250"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Sean McVay""]}]",[]
39332,N53084,lifestyle,lifestylepetsanimals,18 Quiet Dogs That Don't Bark (Too Much),Looking for a dog that keeps its bark on the down-low? Animal behaviorists say these quiet breeds could be a perfect match. The post 18 Quiet Dogs That Don't Bark (Too Much) appeared first on Reader's Digest.,https://assets.msn.com/labs/mind/BBWBA43.html,[],"[{""Label"": ""Reader's Digest"", ""Type"": ""M"", ""WikidataId"": ""Q371820"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [192], ""SurfaceForms"": [""Reader's Digest""]}]"
39338,N41380,video,animals,Tiny deer-like animal spotted after 25 years,See the first images of the deer-like silver-backed chevrotain in 25 years. Conservationists had feared it was extinct.,https://assets.msn.com/labs/mind/BBWBA53.html,[],[]
39527,N50014,sports,football_nfl_videos,11 reasons to watch Week 11 of the 2019 NFL season,"Two MVP candidates face off, a Super Bowl LII rematch and nine other reasons to watch Week 11 of the NFL season.",https://assets.msn.com/labs/mind/BBWHW6H.html,"[{""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [40], ""SurfaceForms"": [""NFL""]}]","[{""Label"": ""Super Bowl LII"", ""Type"": ""U"", ""WikidataId"": ""Q15633579"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [31], ""SurfaceForms"": [""Super Bowl LII""]}, {""Label"": ""Super Bowl Most Valuable Player Award"", ""Type"": ""U"", ""WikidataId"": ""Q1079382"", ""Confidence"": 0.985, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""MVP""]}, {""Label"": ""National Football League"", ""Type"": ""O"", ""WikidataId"": ""Q1215884"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [101], ""SurfaceForms"": [""NFL""]}]"
39532,N52122,news,newscrime,"37 Years After His Wife Is Found Dead with an Ax in Her Skull, Husband Is Arrested","37 Years After His Wife Is Found Dead with Ax in Her Skull, Husband Is Arrested",https://assets.msn.com/labs/mind/BBWBAq4.html,[],[]
39549,N357,travel,travelnews,Why it's nearly impossible for cruise workers to sue employers,"Cruise lines include arbitration requirements in their contracts with employees, making it very difficult for workers to sue them.",https://assets.msn.com/labs/mind/BBWvRK8.html,[],"[{""Label"": ""Cruise ship"", ""Type"": ""C"", ""WikidataId"": ""Q39804"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Cruise""]}]"
39697,N64037,news,newsscienceandtechnology,Supermassive black hole ejects star from Milky Way Galaxy,"Astronomers spotted the star just 29,000 light-years away from Earth   ""practically next door by astronomical standards""",https://assets.msn.com/labs/mind/BBWMlYO.html,"[{""Label"": ""Milky Way"", ""Type"": ""U"", ""WikidataId"": ""Q321"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [41], ""SurfaceForms"": [""Milky Way Galaxy""]}, {""Label"": ""Supermassive black hole"", ""Type"": ""C"", ""WikidataId"": ""Q40392"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Supermassive""]}]","[{""Label"": ""Earth"", ""Type"": ""L"", ""WikidataId"": ""Q2"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [63], ""SurfaceForms"": [""Earth""]}]"
39756,N16050,travel,travelarticle,Cincinnati's Millennium Hotel to shut down New Year's Eve,"The Millennium Hotel Cincinnati will shut down operations on Dec. 31., displacing about 100 employees, according to company spokesman",https://assets.msn.com/labs/mind/BBWEc7i.html,"[{""Label"": ""New Year's Eve"", ""Type"": ""U"", ""WikidataId"": ""Q11269"", ""Confidence"": 0.98, ""OccurrenceOffsets"": [43], ""SurfaceForms"": [""New Year's Eve""]}]","[{""Label"": ""Cincinnati"", ""Type"": ""G"", ""WikidataId"": ""Q43196"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [21], ""SurfaceForms"": [""Cincinnati""]}]"
39829,N23446,lifestyle,lifestyleroyals,Prince Harry and Meghan Markle just shared a never-before-seen photo of baby Archie with his 'Grandpa' Prince Charles to celebrate his birthday,"The Duke and Duchess of Sussex shared a new photo of Archie, Harry, and Charles to mark the Prince of Wales' 71st birthday on Thursday.",https://assets.msn.com/labs/mind/BBWKtBU.html,"[{""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [103], ""SurfaceForms"": [""Prince Charles""]}, {""Label"": ""Wedding of Prince Harry and Meghan Markle"", ""Type"": ""E"", ""WikidataId"": ""Q43890449"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Prince Harry and Meghan Markle""]}]","[{""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [72], ""SurfaceForms"": [""Charles""]}, {""Label"": ""Prince Harry, Duke of Sussex"", ""Type"": ""N"", ""WikidataId"": ""Q152316"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [61], ""SurfaceForms"": [""Harry""]}, {""Label"": ""Duke of Sussex"", ""Type"": ""U"", ""WikidataId"": ""Q772304"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Duke and Duchess of Sussex""]}]"
39851,N50055,sports,basketball_nba,Report: Carmelo Anthony returning to NBA with Trail Blazers,"After months on the open market and fans clamoring for an NBA return, Carmelo Anthony finally has a new home.",https://assets.msn.com/labs/mind/BBWMmlG.html,"[{""Label"": ""Carmelo Anthony"", ""Type"": ""P"", ""WikidataId"": ""Q129041"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [8], ""SurfaceForms"": [""Carmelo Anthony""]}, {""Label"": ""Portland Trail Blazers"", ""Type"": ""O"", ""WikidataId"": ""Q167253"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [46], ""SurfaceForms"": [""Trail Blazers""]}, {""Label"": ""National Basketball Association"", ""Type"": ""O"", ""WikidataId"": ""Q155223"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [37], ""SurfaceForms"": [""NBA""]}]","[{""Label"": ""Carmelo Anthony"", ""Type"": ""P"", ""WikidataId"": ""Q129041"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [70], ""SurfaceForms"": [""Carmelo Anthony""]}, {""Label"": ""National Basketball Association"", ""Type"": ""O"", ""WikidataId"": ""Q155223"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [58], ""SurfaceForms"": [""NBA""]}]"
39909,N17195,sports,football_ncaa,College Football Playoff projection: Alabama's chances still high after LSU loss,,https://assets.msn.com/labs/mind/BBWEcyX.html,"[{""Label"": ""College Football Playoff"", ""Type"": ""U"", ""WikidataId"": ""Q6952928"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""College Football Playoff""]}, {""Label"": ""LSU Tigers football"", ""Type"": ""F"", ""WikidataId"": ""Q6460028"", ""Confidence"": 0.978, ""OccurrenceOffsets"": [72], ""SurfaceForms"": [""LSU""]}]",[]
40012,N57809,news,newsworld,"Fear spreads among Iraqi protesters as government cracks down, keeps death toll secret","Crowds have begun to shrink in the face of violence, arrests and threats.",https://assets.msn.com/labs/mind/BBWBC1U.html,[],[]
40075,N31035,travel,travelnews,New Report Exposes Dolphin Cruelty in Travel Industry,Behind the Smile says unsuspecting tourists are fueling a multibillion-dollar industry while travel companies reap the rewards.,https://assets.msn.com/labs/mind/BBWBCCP.html,[],[]
40094,N12424,foodanddrink,foodnews,"Celebrity chef 'Salt Bae' will pay $230,000 to four ex-servers","Salt Bae must pay. Four former waiters have taken a $230,000 slice out of the Instagram-famous chef after he allegedly fired them from his Manhattan steakhouse for asking questions about tips. As part of the deal, a notice about workers' rights will be posted in the Nusr-Et restaurant on W. 53rd St. in Turkish and English. Salt Bae, whose real name is Nusret Gokce, agreed to the settlement on the eve of trial before a National Labor Relations...",https://assets.msn.com/labs/mind/BBWvULK.html,"[{""Label"": ""Salt Bae"", ""Type"": ""P"", ""WikidataId"": ""Q28778443"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [16], ""SurfaceForms"": [""Salt Bae""]}]","[{""Label"": ""Salt Bae"", ""Type"": ""P"", ""WikidataId"": ""Q28778443"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0, 267, 325, 354], ""SurfaceForms"": [""Salt Bae"", ""Nusr-Et"", ""Salt Bae"", ""Nusret Gokce""]}, {""Label"": ""Forward (association football)"", ""Type"": ""C"", ""WikidataId"": ""Q280658"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [297], ""SurfaceForms"": [""St.""]}, {""Label"": ""Manhattan"", ""Type"": ""G"", ""WikidataId"": ""Q11299"", ""Confidence"": 0.992, ""OccurrenceOffsets"": [139], ""SurfaceForms"": [""Manhattan""]}, {""Label"": ""Labor relations"", ""Type"": ""C"", ""WikidataId"": ""Q608190"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [431], ""SurfaceForms"": [""Labor Relations""]}]"
40106,N36226,finance,finance-retirement,The 1 reason you shouldn't hesitate to claim Social Security early,"Seniors are often told to wait on Social Security, but here's a good argument for filing sooner.",https://assets.msn.com/labs/mind/BBWKwml.html,"[{""Label"": ""Social Security (United States)"", ""Type"": ""U"", ""WikidataId"": ""Q13479957"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [45], ""SurfaceForms"": [""Social Security""]}]","[{""Label"": ""Social Security (United States)"", ""Type"": ""U"", ""WikidataId"": ""Q13479957"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [34], ""SurfaceForms"": [""Social Security""]}]"
40214,N41354,news,newsus,The Daily Northwestern Apologizes to Student Protesters for Reporting,"Editors at Northwestern University's campus newspaper apologized on Sunday for its coverage of student demonstrators, which they said was invasive and ""hurt students,"" spurring a swift backlash from professional journalists and a broader reckoning over reporting practices and diversity in newsrooms.",https://assets.msn.com/labs/mind/BBWEeWx.html,"[{""Label"": ""The Daily Northwestern"", ""Type"": ""M"", ""WikidataId"": ""Q7728691"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Daily Northwestern""]}]","[{""Label"": ""Northwestern University"", ""Type"": ""O"", ""WikidataId"": ""Q309350"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Northwestern University""]}]"
40364,N56243,news,newsus,Widow Sues Truth Aquatics Owner In Conception Boat Fire That Killed 34,The widow of a man who died in when a dive boat caught fire off the Santa Barbara coast and left 34 people dead is suing the vessel's owners.,https://assets.msn.com/labs/mind/BBWBDEF.html,[],[]
40377,N41220,autos,autosenthusiasts,This little Montana town is full of Power Wagons and Mustangs,You never know what sorts of treasures hide down that unpaved backroad.,https://assets.msn.com/labs/mind/BBWvVtj.html,"[{""Label"": ""Dodge Power Wagon"", ""Type"": ""V"", ""WikidataId"": ""Q2335420"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Power Wagons""]}, {""Label"": ""Ford Mustang"", ""Type"": ""V"", ""WikidataId"": ""Q183476"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [53], ""SurfaceForms"": [""Mustangs""]}, {""Label"": ""Montana"", ""Type"": ""G"", ""WikidataId"": ""Q1212"", ""Confidence"": 0.964, ""OccurrenceOffsets"": [12], ""SurfaceForms"": [""Montana""]}]",[]
40381,N21753,news,newspolitics,"Mulvaney won't sue over impeachment, declines to cooperate",White House acting chief of staff Mick Mulvaney said Tuesday that he no longer plans to sue over the House impeachment proceedings and will instead follow President Donald Trump's directions and decline to cooperate.,https://assets.msn.com/labs/mind/BBWEffL.html,"[{""Label"": ""Mick Mulvaney"", ""Type"": ""P"", ""WikidataId"": ""Q1235731"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Mulvaney""]}]","[{""Label"": ""Mick Mulvaney"", ""Type"": ""P"", ""WikidataId"": ""Q1235731"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [34], ""SurfaceForms"": [""Mick Mulvaney""]}, {""Label"": ""White House"", ""Type"": ""F"", ""WikidataId"": ""Q35525"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [0, 101], ""SurfaceForms"": [""White House"", ""House""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [155], ""SurfaceForms"": [""President Donald Trump""]}]"
40456,N14184,news,newsus,Man cuffed for eating sandwich on train platform gets an apology,Bay Area Rapid Transit was slammed for its handling of a man who was handcuffed and cited for eating a sandwich,https://assets.msn.com/labs/mind/BBWBDWu.html,[],"[{""Label"": ""Bay Area Rapid Transit"", ""Type"": ""U"", ""WikidataId"": ""Q610120"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Bay Area Rapid Transit""]}]"
